timestamp,coin,direction,entry_price,exit_price,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,mfe_pct,balance_after
2026-07-10 10:10,GUN,LONG,0.004412,0.00461,4.4878,0.8,21.6388,WIN,3.5,TRAIL,6.188,5018.04
2026-07-10 14:35,METIS,LONG,2.949,2.831,-4.0014,0.8,-20.8068,LOSS,5.4,SL,0.0,4996.43
2026-07-10 15:10,MYX,LONG,0.07947,0.07605,-4.3035,0.8,-22.3176,LOSS,5.8,SL,3.007,4974.11
2026-07-11 11:05,BULLA,LONG,0.00635,0.006062,-4.5354,0.8,-23.4772,LOSS,25.9,SL,0.0,4949.84
2026-07-12 02:50,DEEP,LONG,0.01859,0.01773,-4.6261,0.8,-23.9307,LOSS,40.4,SL,0.538,4925.91
2026-07-12 09:25,RONIN,LONG,0.05744,0.05495,-4.335,0.8,-22.4748,LOSS,41.2,SL,0.679,4903.43
2026-07-12 23:00,MIRA,LONG,0.04479,0.0428,-4.443,0.8,-23.0148,LOSS,62.8,SL,2.835,4880.02
2026-07-12 23:05,YB,LONG,0.07711,0.07379,-4.3055,0.8,-22.3277,LOSS,54.1,SL,3.631,4857.69
2026-07-13 03:40,STO,LONG,0.04517,0.04275,-5.3575,0.8,-27.5877,LOSS,67.3,SL,1.107,4829.7
2026-07-13 05:45,SOPH,LONG,0.004859,0.00465,-4.3013,0.8,-22.3065,LOSS,71.6,SL,1.42,4807.4
2026-07-13 07:05,DASH,LONG,35.3,34.01,-3.6544,0.8,-19.072,LOSS,72.1,TIMEOUT,0.368,4788.32
2026-07-13 07:15,FIL,LONG,0.7951,0.7632,-4.0121,0.8,-20.8604,LOSS,71.0,SL,2.075,4767.06
2026-07-13 10:25,ZEN,LONG,4.173,4.106,-1.6056,0.8,-8.8278,LOSS,72.0,TIMEOUT,2.109,4757.84
2026-07-13 11:00,LAB,SHORT,0.3621,0.3485,3.7559,0.8,17.9793,WIN,3.8,TRAIL,5.413,4775.81
2026-07-13 19:45,TAC,SHORT,0.002873,0.002683,6.6133,0.8,32.2665,WIN,11.6,TRAIL,8.388,4805.28
2026-07-14 08:00,BLESS,SHORT,0.007333,0.007898,-7.7049,0.8,-39.3245,LOSS,13.7,SL,0.136,4765.56
2026-07-14 17:30,PIPPIN,SHORT,0.01567,0.01668,-6.4454,0.8,-33.0272,LOSS,19.8,SL,0.0,4732.53
2026-07-14 17:35,HEMI,SHORT,0.004321,0.004499,-4.1194,0.8,-21.3971,LOSS,28.3,SL,2.546,4711.13
