timestamp,pair,direction,n_entries,entry_spread,exit_spread,entry_z,exit_z,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,balance_after,beta_stored,kelly_weight,mfe_pct,half_life_h
2026-07-11 06:08,TAKE/YFI,SHORT,1,0.114209,0.355573,2.483,0.488,-24.1364,0.64,-97.1824,LOSS,207.7,MEAN,4902.23,-0.555323,0.8,0.0,30.079995636041073
2026-07-11 06:08,TAKE/TNSR,SHORT,1,-2.12382,-1.963779,2.094,0.591,-16.0042,0.8,-80.8173,LOSS,207.7,TIMEOUT,4821.41,0.565605,1.0,0.0,30.268603989451076
2026-07-11 06:08,EGLD/ENS,SHORT,1,0.018252,0.072702,1.696,0.188,-5.445,0.4,-14.0114,LOSS,207.7,MEAN,4807.4,0.668679,0.5,0.0,13.58251024753347
2026-07-11 06:08,ACU/BB,LONG,1,-1.022585,-1.044789,-1.537,-1.967,-2.2205,0.7999,-11.9013,LOSS,207.7,TIMEOUT,4795.5,0.393491,1.0,0.0,18.1513380849398
2026-07-11 06:11,WOO/XRP,SHORT,1,-0.755538,-0.284187,2.656,-0.363,-47.1351,1.2,-354.7073,LOSS,207.8,MEAN,4440.54,-41.22523,1.5,0.0,43.93438597583372
2026-07-11 06:11,BTC/CAKE,LONG,1,4.855133,4.226584,-2.101,-1.12,-62.8549,0.72,-283.5562,LOSS,207.8,TIMEOUT,4156.98,19.857452,0.9,0.0,11.312335747342564
2026-07-11 06:11,ACE/ASTER,LONG,1,-0.096636,0.012585,-2.035,0.728,10.9221,0.8,53.8076,WIN,207.8,TIMEOUT,4210.79,5.595101,1.0,10.922,3.922165683219068
2026-07-11 06:16,CROSS/ETHW,LONG,1,-1.016299,-1.047006,-3.058,-0.351,-3.0707,0.8,-16.1536,LOSS,207.9,MEAN,4194.36,1.088292,1.0,0.0,21.27216398727654
2026-07-11 06:16,TAKE/ZKC,SHORT,1,0.052717,0.168947,1.845,0.117,-11.6231,0.8,-58.9118,LOSS,207.9,MEAN,4135.45,1.310364,1.0,0.0,16.173985527258832
2026-07-11 06:16,VIRTUAL/WLD,SHORT,2,-0.033627,0.177235,1.501,3.491,-21.0862,1.1999,-159.3295,LOSS,207.9,STOP,3976.12,0.676988,1.5,0.0,314.41576443525605
2026-07-11 06:21,HEMI/MAV,SHORT,1,0.075717,0.003563,1.513,0.095,7.2154,0.7999,35.2735,WIN,207.9,MEAN,4011.23,1.158897,1.0,7.215,7.651802109233855
2026-07-11 06:31,GUA/JST,LONG,1,-18.979716,-18.122058,-5.291,1.297,85.7659,0.8,428.0293,WIN,208.1,TIMEOUT,4438.74,-6.667825,1.0,85.766,
2026-07-11 06:46,1000FLOKI/1INCH,LONG,1,-0.04736,-0.033529,-2.607,-0.639,1.3831,0.4,3.0576,WIN,208.4,TIMEOUT,4441.12,1.420264,0.5,1.383,25.858723352252028
2026-07-12 04:50,CARV/DIA,LONG,7,-0.033885,-0.002261,-1.629,0.049,3.1623,0.6737,12.6416,WIN,22.7,MEAN,4452.84,1.500091,1.0,3.162,22.154270211926107
2026-07-12 06:50,ENA/SEI,SHORT,8,0.034215,0.033009,2.547,1.248,0.1206,1.1509,-0.2837,LOSS,24.7,TIMEOUT,4452.49,0.847399,1.5,0.21,7.405146090567274
2026-07-12 09:25,DYM/FOGO,LONG,3,-1.774862,-1.768783,-1.369,-0.985,0.6079,0.6362,1.7808,WIN,27.2,TIMEOUT,4454.19,0.515249,1.0,0.633,12.50057192045051
2026-07-12 10:10,ENA/OP,SHORT,9,0.038009,0.074882,2.29,2.426,-3.6873,1.1509,-27.6742,LOSS,28.0,TIMEOUT,4426.45,1.126041,1.5,0.436,8.378590385364214
2026-07-12 18:30,VIRTUAL/WLD,SHORT,2,-0.171389,-0.225402,3.491,0.38,5.4014,0.9543,31.2602,WIN,36.2,profit_lock,4457.65,0.35472,1.5,6.435,1570.0514234109899
2026-07-12 19:25,PORTAL/SAPIEN,LONG,5,-1.650944,-1.668139,-2.612,-1.762,-1.7195,0.3368,-3.9569,LOSS,37.2,TIMEOUT,4453.66,1.100387,0.5,0.869,8.515696087066289
2026-07-12 23:10,ACU/BB,LONG,8,-0.829524,-0.935399,-1.967,-0.535,-10.5874,0.7673,-51.5374,LOSS,41.0,TIMEOUT,4402.08,0.418411,1.0,0.062,18.206721300702835
2026-07-13 06:51,SSV/VANA,LONG,3,0.252108,0.304466,-1.963,-0.131,5.2358,0.7102,22.5297,WIN,48.3,MEAN,4424.56,2.444846,1.0,5.236,18.123994667354932
2026-07-13 06:51,NEIRO/PNUT,SHORT,2,-3.42311,-3.407141,0.945,0.068,-1.5968,0.4987,-5.476,LOSS,24.4,MEAN,4419.08,1.996949,0.7,0.45,8.36259990228323
2026-07-13 07:31,CHR/ERA,SHORT,2,0.055849,0.007267,2.779,0.597,4.8582,0.7127,20.9265,WIN,22.1,profit_lock,4439.85,1.673483,1.0,5.891,10.420836427722445
2026-07-13 08:21,PYTH/SAPIEN,SHORT,5,-1.378117,-1.422755,1.583,0.322,4.4638,0.6737,18.1212,WIN,50.2,MEAN,4457.85,0.638325,1.0,4.464,74.156491096524
2026-07-13 08:26,GUA/JST,LONG,2,-9.441141,-9.39898,-1.029,-0.321,4.216,0.7071,17.924,WIN,1.6,MEAN,4475.65,-2.802372,1.0,4.216,72.76497691696264
2026-07-13 09:11,AXL/BIO,SHORT,1,0.016081,-0.022474,1.575,-1.859,3.8555,0.7132,16.4732,WIN,14.4,profit_lock,4491.98,0.89262,1.0,4.411,9.00774402431653
2026-07-13 09:56,ENA/SEI,SHORT,1,0.01913,0.016822,1.248,0.712,0.2308,1.0686,0.4731,WIN,27.1,swap,4492.17,0.842799,1.5,0.299,15.502377134715543
2026-07-13 11:06,SOL/LTC,LONG,7,-0.027184,-0.014849,-1.889,-0.489,1.2335,0.7672,5.1478,WIN,53.0,MEAN,4497.05,1.15182,1.0,1.234,33.94530416504612
2026-07-13 11:11,PENGU/SEI,LONG,1,-1.91349,-1.914259,-1.73,-0.444,-0.0768,0.3553,-0.5259,LOSS,52.4,MEAN,4496.47,1.056635,0.5,0.0,28.127293020394934
2026-07-13 12:36,PENGU/SUSHI,LONG,5,-2.017834,-2.020006,-1.382,-0.668,-0.2171,0.9542,-2.2493,LOSS,54.3,TIMEOUT,4493.76,1.692624,1.5,0.102,26.916427856770454
2026-07-13 12:41,ACH/BB,SHORT,5,0.037603,0.032914,2.877,1.772,0.4689,0.7161,1.3825,WIN,4.3,swap,4495.01,1.372703,1.0,1.213,9.610540380509786
2026-07-13 12:46,PORTAL/SAPIEN,LONG,7,-2.637319,-2.382857,-1.762,-1.719,25.4462,0.3563,56.308,WIN,17.4,profit_lock,4551.3,0.825668,0.5,26.411,21.757114477800798
2026-07-13 13:31,1000BONK/1000SHIB,SHORT,1,0.015347,-0.06548,1.513,-0.691,8.0827,0.4,19.8047,WIN,263.1,TIMEOUT,4570.5,1.001,0.5,8.083,23.74512215041588
2026-07-13 13:31,H/MAVIA,SHORT,3,0.068123,0.025959,2.455,1.027,4.2164,0.7187,18.2212,WIN,4.3,profit_lock,4588.72,0.753648,1.0,4.948,6.175442674277345
2026-07-13 13:51,DYM/ELSA,LONG,10,-1.813222,-1.840909,-1.339,-1.598,-2.7688,0.6418,-11.7474,LOSS,55.5,TIMEOUT,4576.79,0.801614,1.0,2.871,27.451532002133224
2026-07-13 14:01,EIGEN/ENA,SHORT,6,0.049522,0.045962,1.99,2.013,0.3561,1.0793,1.3226,WIN,2.9,swap,4578.02,0.573371,1.5,0.442,21.31023864806091
2026-07-14 17:40,ACE/ARPA,LONG,5,-0.21298,-0.025198,-2.151,-0.473,18.7782,0.7323,85.2117,WIN,27.8,MEAN,4662.48,0.549575,1.0,18.778,12.081052947542792
2026-07-14 17:40,ACH/BB,SHORT,4,0.037366,0.034486,2.308,1.281,0.2881,0.7325,0.5863,WIN,27.7,TIMEOUT,4663.06,1.371901,1.0,1.387,11.496966513025443
2026-07-14 20:35,RENDER/SUSHI,LONG,10,-0.031794,-0.026653,-2.058,-0.596,0.514,0.3552,0.786,WIN,37.1,TIMEOUT,4663.76,-0.244532,0.5,0.514,15.060834529556152
2026-07-14 23:55,ENA/OP,SHORT,6,0.031044,0.081426,2.426,1.482,-5.0382,1.0623,-34.5144,LOSS,61.8,TIMEOUT,4629.2,1.119018,1.5,2.0,14.335679130458145
2026-07-15 01:50,H/LPT,LONG,3,-1.299587,-1.254909,-2.24,-0.504,4.4677,0.7342,19.7668,WIN,36.3,TIMEOUT,4648.92,-3.333814,1.0,4.468,6.406425450737859
2026-07-15 03:00,SAPIEN/SEI,SHORT,9,0.052408,0.01127,2.282,-0.028,4.1138,0.7187,17.7611,WIN,41.1,MEAN,4666.64,0.853814,1.0,4.114,14.184947017001548
2026-07-15 14:06,SOL/SPX,LONG,6,2.435456,2.491521,-0.775,0.658,5.6065,0.3535,12.0342,WIN,55.3,TIMEOUT,4678.58,-1.930193,0.5,5.606,19.108601841414437
2026-07-15 14:06,OP/ARB,LONG,5,-0.998245,-0.9348,-1.323,0.283,6.3446,0.7194,27.8086,WIN,50.9,MEAN,4706.39,0.552832,1.0,6.345,89.56971732708833
2026-07-15 14:16,GALA/SAND,LONG,5,-2.957425,-2.955852,-1.547,-2.175,0.1574,1.0699,-0.0177,LOSS,53.9,profit_lock,4706.32,1.076486,1.5,3.91,109.09269609648733
2026-07-15 14:16,PORTAL/SAPIEN,LONG,2,-2.748413,-2.759107,-1.719,-0.99,-1.0694,0.3641,-2.7976,LOSS,49.5,TIMEOUT,4703.52,0.682582,0.5,0.0,24.538879113051348
2026-07-15 14:16,PNUT/POPCAT,SHORT,4,0.0272,0.011491,1.692,0.579,1.571,0.4405,3.8847,WIN,48.8,TIMEOUT,4707.4,1.018899,0.6,1.571,19.19258887179398
2026-07-15 14:16,DYM/FOGO,LONG,1,0.004174,0.006799,-0.552,-0.409,0.2625,0.7438,0.4765,WIN,12.4,MEAN,4707.84,0.897353,1.0,0.262,4.208091065018546
2026-07-15 14:21,MEW/MOODENG,SHORT,9,-2.752001,-2.762567,2.101,-0.264,1.0566,1.0785,6.0439,WIN,49.8,MEAN,4713.66,1.595596,1.5,1.057,5.205910623451479
2026-07-15 14:26,1000SHIB/1MBABYDOGE,LONG,1,-2.116816,-2.101609,-0.907,-0.053,1.5207,1.1191,9.5173,WIN,20.8,MEAN,4723.01,0.41517,1.5,1.521,27.089418341163427
2026-07-15 14:31,ACE/ASR,LONG,2,-1.374228,-1.346316,-1.942,-1.615,2.7911,0.7532,12.3865,WIN,0.3,profit_lock,4735.24,9.579101,1.0,3.097,5.629722014954873
2026-07-15 14:36,ENA/OP,SHORT,2,-0.395754,0.016879,1.482,1.257,-41.2633,1.111,-287.6354,LOSS,14.7,STOP,4447.55,1.096192,1.5,1.226,35.62597060928693
2026-07-15 14:41,ONDO/SAND,LONG,5,-0.023581,0.021797,-2.665,2.233,4.5377,0.3596,9.839,WIN,50.0,TIMEOUT,4457.15,0.371282,0.5,4.538,11.709052286262038
2026-07-15 15:11,1000PEPE/1000SHIB,SHORT,8,-0.366441,0.06606,2.537,1.825,-43.25,0.3522,-95.5465,LOSS,64.0,STOP,4360.82,1.08521,0.5,1.076,89.13938083171098
2026-07-15 15:41,1000BONK/1INCH,LONG,1,-0.06073,-0.316825,-1.83,-1.874,-25.6095,1.1999,-193.2575,LOSS,313.3,TIMEOUT,4167.04,2.031563,1.5,0.0,13.408283794551108
